BETA_2,SE_2,var_2,MAF_2
0.0210401,0.0169561,0.00028750932721,0.948433
-0.00560888,0.0100803,0.00010161244809,0.166963
0.0062932,0.0112256,0.00012601409536,0.127449
-0.0257259,0.0366431,0.00134271677761,0.0105967
-0.0428002,0.0504604,0.00254625196816,0.00552555
-0.051244,0.0719647,0.00517891804609,0.0027407
-0.00635131,0.01171,0.0001371241,0.11757
0.00575485,0.0112312,0.00012613985344,0.12734
-0.0964725,0.0886738,0.00786304280644,0.00179156
-0.106095,0.113877,0.012967971129,0.00105094
0.00568451,0.0112261,0.00012602532121,0.127508
-0.00492248,0.0102683,0.00010543798489,0.159935
0.0058687,0.0662043,0.00438300933849,0.00314193
0.0751147,0.0808863,0.00654259352769,0.00213365
0.0226582,0.0284624,0.00081010821376,0.017348
0.0278576,0.0441308,0.00194752750864,0.0071497
-0.00176803,0.0194035,0.00037649581225,0.03805
0.0056779,0.0112171,0.00012582333241,0.12775
0.00576325,0.0112227,0.00012594899529,0.127562
0.00543049,0.0111952,0.00012533250304,0.128261
0.0052212,0.0112136,0.00012574482496,0.127793
-0.00757557,0.00973938,9.48555227844e-05,0.18472
-0.0199226,0.0138645,0.00019222436025,0.0791546
0.00528341,0.0112287,0.00012608370369,0.12745
0.005355,0.0111999,0.00012543776001,0.128199
0.0203915,0.0169613,0.00028768569769,0.948461
0.000325359,0.00755564,5.70876958096e-05,0.469833
-0.0434716,0.0507777,0.00257837481729,0.00556762
-0.0456998,0.0306199,0.00093757827601,0.0152797
-0.00600098,0.0100574,0.00010115129476,0.168282
0.00132803,0.00760088,5.77733767744e-05,0.465377
-0.0119314,0.0101045,0.00010210092025,0.167663
-0.00750846,0.00973927,9.48533801329e-05,0.184687
0.0207332,0.016966,0.000287845156,0.948491
0.00777378,0.0112698,0.00012700839204,0.126358
-0.00605605,0.0117123,0.00013717797129,0.1176
0.0506446,0.066845,0.004468254025,0.00318917
0.00732144,0.011276,0.000127148176,0.126354
0.00856478,0.0112795,0.00012722712025,0.126352
0.0391386,0.0260212,0.00067710284944,0.0210251
0.0249597,0.0144522,0.00020886608484,0.927427
-0.113586,0.136313,0.018581233969,0.000725801
0.0314537,0.154145,0.023760681025,0.000571782
0.0378097,0.0198224,0.00039292754176,0.0371134
-0.00237882,0.00757549,5.73880487401e-05,0.458821
-0.00482079,0.00798221,6.37156764841e-05,0.337865
-0.0123,0.0131721,0.00017350421841,0.0888197
0.0363542,0.0258805,0.00066980028025,0.021251
-0.00101207,0.0104066,0.00010829732356,0.154844
-0.00218647,0.00757565,5.73904729225e-05,0.457944
-0.00231639,0.00757755,5.74192640025e-05,0.458342
0.0721408,0.0384505,0.00147844095025,0.00953678
-0.013401,0.013105,0.000171741025,0.0896463
0.00680025,0.00948161,8.99009281921e-05,0.19407
-0.139336,0.106129,0.011263364641,0.00132753
-0.0002155,0.0077609,6.023156881e-05,0.376749
0.00671825,0.00757647,5.74028976609e-05,0.549071
-0.0133987,0.0131038,0.00017170957444,0.0896535
0.00711651,0.00756557,5.72378494249e-05,0.549736
-0.000386599,0.0104097,0.00010836185409,0.154797
0.0270931,0.0704438,0.00496232895844,0.00283343
-0.0396217,0.0930475,0.00865783725625,0.0015768
0.0021987,0.00855394,7.31698895236e-05,0.735764
0.00640371,0.00946786,8.96403729796e-05,0.194405
0.00708882,0.00756364,5.72086500496e-05,0.549404
0.00641264,0.00946805,8.96439708025e-05,0.194368
0.0179533,0.0169558,0.00028749915364,0.948575
-0.0136701,0.0130951,0.00017148164401,0.0897484
